"","stationcode","datetimestamp","monitoringprogram","replicate","F_Record","PO4F","F_PO4F","TP","F_TP","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","DIN","F_DIN","TN","F_TN","TKN","F_TKN","TON","FTON","CHLA_N1","F_CHLAN1","2CHLA","F_2CHLA","UncCHLa_N1","F_UncCHLa_N1","2UncCHLa","F_2UncCHLa","PHEA1","F_PHEA1","2PHEA","F_2PHEA","TSS","F_TSS","FECCOL_CFU","F_FECCOL_CFU","ECOLI_MPN","F_ECOLI_MPN","WTEM_N","FWTEM_N","SPC","F_SPC","DO_N","F_DO_N","PH","F_PH","SECCHI","F_SECCHI","DOC","F_DOC","TKN_F","F_TKN_F","DON","F_DON","NP"
"172","gtmpcnut",2018-04-25 03:00:00,"2","8",NA,"0.048",NA,0.079,NA,0.033,NA,"0.003","U","0.032",NA,0.033,NA,0.066,NA,0.913,NA,0.88,NA,0.847,NA,"1.6","I",NA,NA,"2.3",NA,NA,NA,"1.1","I",NA,NA,"5","I","210","Q",NA,NA,"22.671",NA,"3939.7",NA,"5.21",NA,"7.67",NA,NA,NA,"31",NA,NA,NA,NA,NA,11.5569620253165
"173","gtmpcnut",2018-05-29 03:00:00,"2","8",NA,"0.047",NA,0.11,NA,0.011,NA,"0.003","U","0.016",NA,0.017,NA,0.028,NA,1.217,NA,1.2,NA,1.189,NA,"2.3","I",NA,NA,"4.3",NA,NA,NA,"3.1",NA,NA,NA,"17",NA,"150","BQ",NA,NA,"26.078",NA,"299.6",NA,"5.16",NA,"6.61",NA,NA,NA,"40",NA,NA,NA,NA,NA,11.0636363636364
"174","gtmpcnut",2018-06-12 03:00:00,"2","8",NA,"0.041",NA,0.07,NA,0.023,NA,"0.003","U","0.020",NA,0.021,NA,0.044,NA,1.221,NA,1.2,NA,1.177,NA,"1.3","I",NA,NA,"2.4",NA,NA,NA,"1.7","I",NA,NA,"10","I","130","BQ",NA,NA,"25.859",NA,"368.3",NA,"4.78",NA,"6.41",NA,NA,NA,"39",NA,NA,NA,NA,NA,17.4428571428571
"175","gtmpcnut",2018-07-24 03:00:00,"2","8",NA,"0.043",NA,0.076,NA,0.067,NA,"0.008",NA,"0.031",NA,0.039,NA,0.106,NA,0.809,NA,0.77,NA,0.703,NA,"5.0",NA,NA,NA,"7.2",NA,NA,NA,"3.3",NA,NA,NA,"8","I","120","Q",NA,NA,"27.958",NA,"8559.3",NA,"4.33",NA,"6.99",NA,NA,NA,"23",NA,NA,NA,NA,NA,10.6447368421053
"176","gtmpcnut",2018-08-07 03:00:00,"2","8",NA,"0.034",NA,0.054,NA,0.01,NA,"0.003","U","0.011",NA,0.011,NA,0.021,NA,1.111,NA,1.1,NA,1.09,NA,"0.58","I",NA,NA,"0.80","I",NA,NA,"0.40","U",NA,NA,"4","I","250","Q",NA,NA,"28.068",NA,"130.5",NA,"4.52",NA,"6.26",NA,NA,NA,"42",NA,NA,NA,NA,NA,20.5740740740741
"177","gtmpcnut",2018-09-05 03:00:00,"2","8",NA,"0.052",NA,0.081,NA,0.004,"I","0.003","U","0.046",NA,0.049,NA,0.053,NA,0.839,NA,0.79,NA,0.786,NA,"3.0","I",NA,NA,"4.2",NA,NA,NA,"1.7","I",NA,NA,"5","I","130","BQ",NA,NA,"29.032",NA,"651.4",NA,"4.56",NA,"7.0",NA,NA,NA,"24",NA,NA,NA,NA,NA,10.358024691358
"178","gtmpcnut",2018-10-23 03:00:00,"2","8",NA,"0.047",NA,0.09,NA,0.048,NA,"0.007",NA,"0.027",NA,0.034,NA,0.082,NA,0.934,NA,0.9,NA,0.852,NA,"3.2",NA,NA,NA,"4.8",NA,NA,NA,"2.4","I",NA,NA,"10",NA,"100","BQ",NA,NA,"23.763",NA,"12533",NA,"5.54",NA,"7.0",NA,NA,NA,"26",NA,NA,NA,NA,NA,10.3777777777778
"179","gtmpcnut",2018-11-06 03:00:00,"2","8",NA,"0.037",NA,0.064,NA,0.026,NA,"0.005","I","0.017",NA,0.022,NA,0.048,NA,0.722,NA,0.7,NA,0.674,NA,"1.6","I",NA,NA,"2.2",NA,NA,NA,"0.81","I",NA,NA,"5","I","200","Q",NA,NA,"22.575",NA,"7514.1",NA,"5.44",NA,"7.14",NA,NA,NA,"20",NA,NA,NA,NA,NA,11.28125
"180","gtmpcnut",2018-12-04 03:00:00,"2","8",NA,"0.034",NA,0.058,NA,0.009,NA,"0.005",NA,"0.26",NA,0.26,NA,0.269,NA,1.11,NA,0.85,NA,0.841,NA,"0.79","U",NA,NA,"1.1","I",NA,NA,"0.86","U",NA,NA,"5","I","96","Q",NA,NA,"19.467",NA,"6356.4",NA,"6.67",NA,"7.15",NA,NA,NA,"29",NA,NA,NA,NA,NA,19.1379310344828
"181","gtmpcnut",2018-01-16 05:30:00,"2","9",NA,NA,NA,0.055,NA,0.02,NA,NA,NA,NA,NA,0.014,NA,0.034,NA,0.944,NA,0.93,NA,0.91,NA,"0.55","U",NA,NA,"0.51","I",NA,NA,"0.40","U",NA,NA,"3","I","210","Q",NA,NA,"11.67",NA,"297.6",NA,"8.17",NA,"6.66",NA,NA,NA,"32",NA,NA,NA,NA,NA,17.1636363636364
"182","gtmpcnut",2018-02-13 05:30:00,"2","9",NA,"0.043",NA,0.075,NA,0.027,NA,"0.003","U","0.025",NA,0.025,NA,0.052,NA,0.965,NA,0.94,NA,0.913,NA,"1.2","I",NA,NA,"1.6",NA,NA,NA,"0.46","I",NA,NA,"3","I","130","BQ",NA,NA,"19.418",NA,"3236.9",NA,"6.46",NA,"6.73",NA,NA,NA,"32",NA,NA,NA,NA,NA,12.8666666666667
